,date,day_1_neg,day_1_neu,day_1_pos,week_1_neg,week_1_neu,week_1_pos,month_1_neg,month_1_neu,month_1_pos,year_1_neg,year_1_neu,year_1_pos,rest_neg,rest_neu,rest_pos,"Accounts Receivable, after Allowance for Credit Loss, Current","Accumulated Other Comprehensive Income (Loss), Net of Tax",Additional Paid in Capital,Assets,"Assets, Current","Cash and Cash Equivalents, at Carrying Value","Common Stock, Par or Stated Value Per Share","Common Stock, Shares Authorized","Common Stock, Shares, Outstanding","Common Stock, Value, Issued",Cost of Goods and Services Sold,Deferred Income Tax Expense (Benefit),Interest Expense,"Common Stock, Shares, Issued",Increase (Decrease) in Inventories,Goodwill,"Earnings Per Share, Diluted",General and Administrative Expense,"Income (Loss) from Continuing Operations before Equity Method Investments, Income Taxes, Noncontrolling Interest",Income Tax Expense (Benefit),Increase (Decrease) in Accounts Payable,"Earnings Per Share, Basic",Liabilities and Equity,"Liabilities, Current","Long-term Debt, Excluding Current Maturities","Marketable Securities, Current",Marketing Expense,Net Cash Provided by (Used in) Investing Activities,Net Cash Provided by (Used in) Operating Activities,Net Income (Loss) Attributable to Parent,Nonoperating Income (Expense),Operating Income (Loss),"Other Assets, Noncurrent","Other Liabilities, Noncurrent","Inventory, Net",Other Nonoperating Income (Expense),"Investment Income, Interest",Net Cash Provided by (Used in) Financing Activities,"Preferred Stock, Shares Authorized","Preferred Stock, Par or Stated Value Per Share","Preferred Stock, Shares Issued","Preferred Stock, Shares Outstanding","Preferred Stock, Value, Issued","Share-based Payment Arrangement, Noncash Expense",Stockholders' Equity Attributable to Parent,"Treasury Stock, Value","Weighted Average Number of Shares Outstanding, Diluted","Weighted Average Number of Shares Outstanding, Basic",Retained Earnings (Accumulated Deficit),"Accounts Payable, Current","Comprehensive Income (Loss), Net of Tax, Attributable to Parent","OCI, Debt Securities, Available-for-Sale, Unrealized Holding Gain (Loss), before Adjustment, after Tax",Unrecognized Tax Benefits,Costs and Expenses,"Income Taxes Paid, Net",Incremental Common Shares Attributable to Dilutive Effect of Share-based Payment Arrangements,"OCI, Debt Securities, Available-for-Sale, Unrealized Holding Gain (Loss), before Adjustment, Tax","Share-based Payment Arrangement, Nonvested Award, Cost Not yet Recognized, Amount",Other Noncash Income (Expense),Long-term Debt,"Long-term Debt, Current Maturities","Contractual Obligation, to be Paid, Year Two","Contractual Obligation, to be Paid, Year Three","Contractual Obligation, to be Paid, Year Four","OCI, Debt Securities, Available-for-Sale, Gain (Loss), after Adjustment and Tax","Other Comprehensive Income (Loss), Net of Tax","Long-term Debt, Gross","Other Comprehensive Income (Loss), Reclassification Adjustment from AOCI for Sale of Securities, Tax","Other Comprehensive Income (Loss), Reclassification Adjustment from AOCI for Sale of Securities, Net of Tax",Increase (Decrease) in Accrued Liabilities and Other Operating Liabilities,Increase (Decrease) in Accounts Receivable and Other Operating Assets,Other Commitment,"Other Commitment, to be Paid, Year Four","Other Commitment, to be Paid, Year Three","Other Commitment, to be Paid, Year Two","Unrecorded Unconditional Purchase Obligation, to be Paid, Year Four",Unrecorded Unconditional Purchase Obligation,"Unrecorded Unconditional Purchase Obligation, to be Paid, Year Three","Unrecorded Unconditional Purchase Obligation, to be Paid, Year Two",Payments to Acquire Marketable Securities,Open,High,Low,Close,Adj Close,Volume,Close_diff_perc
0,12/28/2015,0.012925282,0.593400704,0.393674056,0.012925282,0.593400704,0.393674056,0.012925282,0.593400704,0.393674056,0.012925282,0.593400704,0.393674056,0.012925282,0.593400704,0.393674056,0.105691057,0.094003241,0.052399248,0.072273074,0.093137812,0.042847405,-1,0,0.002136752,0.0,0.105211082,0.465116279,0.01754386,0.00203666,55.92592593,0.001703094,-1.0,-0.00856531,-0.317679558,-0.394736842,4.442359249,-1.0,0.072273074,0.114795918,-0.000848485,-0.003483387,0.099130435,0.000726744,0.306960441,-0.141304348,0.558823529,-0.125,0.055464391,0.045828437,0.20227577,-56000001.0,0.083333333,0.056439942,0,-1,-1,-1,-1,-0.03374778,0.056254249,0.0,0.004201681,0.002141328,0.039818548,0.165119845,-0.907488987,-1.5,0.048009368,0.098191101,0.230769231,0.111111111,-1.375,-0.03125,2.111111111,-0.01572589,-0.112787927,0.112262156,0.2790809,0.081893004,-1.285714286,-1.42962963,-0.001078749,999999.0,0.0,-2.108527132,0.36744186,-0.048221344,-0.053097345,0.125827815,0.076233184,0.504950495,0.068649886,0.213836478,0.184615385,0.7952,33.278,33.775002,33.275002,33.759998,33.759998,75672000,
1,12/29/2015,0.305011079,0.341045347,0.3539436,0.183308664,0.446193413,0.370497957,0.183308664,0.446193413,0.370497957,0.183308664,0.446193413,0.370497957,0.183308664,0.446193413,0.370497957,0.105691057,0.094003241,0.052399248,0.072273074,0.093137812,0.042847405,-1,0,0.002136752,0.0,0.105211082,0.465116279,0.01754386,0.00203666,55.92592593,0.001703094,-1.0,-0.00856531,-0.317679558,-0.394736842,4.442359249,-1.0,0.072273074,0.114795918,-0.000848485,-0.003483387,0.099130435,0.000726744,0.306960441,-0.141304348,0.558823529,-0.125,0.055464391,0.045828437,0.20227577,-56000001.0,0.083333333,0.056439942,0,-1,-1,-1,-1,-0.03374778,0.056254249,0.0,0.004201681,0.002141328,0.039818548,0.165119845,-0.907488987,-1.5,0.048009368,0.098191101,0.230769231,0.111111111,-1.375,-0.03125,2.111111111,-0.01572589,-0.112787927,0.112262156,0.2790809,0.081893004,-1.285714286,-1.42962963,-0.001078749,999999.0,0.0,-2.108527132,0.36744186,-0.048221344,-0.053097345,0.125827815,0.076233184,0.504950495,0.068649886,0.213836478,0.184615385,0.7952,33.898998,34.821999,33.894501,34.698502,34.698502,114700000,0.16546844117914267
2,12/30/2015,0.023656304,0.495237277,0.481106414,0.124489373,0.464262205,0.411248441,0.124489373,0.464262205,0.411248441,0.124489373,0.464262205,0.411248441,0.124489373,0.464262205,0.411248441,0.105691057,0.094003241,0.052399248,0.072273074,0.093137812,0.042847405,-1,0,0.002136752,0.0,0.105211082,0.465116279,0.01754386,0.00203666,55.92592593,0.001703094,-1.0,-0.00856531,-0.317679558,-0.394736842,4.442359249,-1.0,0.072273074,0.114795918,-0.000848485,-0.003483387,0.099130435,0.000726744,0.306960441,-0.141304348,0.558823529,-0.125,0.055464391,0.045828437,0.20227577,-56000001.0,0.083333333,0.056439942,0,-1,-1,-1,-1,-0.03374778,0.056254249,0.0,0.004201681,0.002141328,0.039818548,0.165119845,-0.907488987,-1.5,0.048009368,0.098191101,0.230769231,0.111111111,-1.375,-0.03125,2.111111111,-0.01572589,-0.112787927,0.112262156,0.2790809,0.081893004,-1.285714286,-1.42962963,-0.001078749,999999.0,0.0,-2.108527132,0.36744186,-0.048221344,-0.053097345,0.125827815,0.076233184,0.504950495,0.068649886,0.213836478,0.184615385,0.7952,34.594501,34.774502,34.319,34.453499,34.453499,70380000,-0.043503864895722166
3,12/31/2015,0.183567665,0.503424175,0.313008173,0.147358389,0.479421677,0.37321995,0.147358389,0.479421677,0.37321995,0.147358389,0.479421677,0.37321995,0.147358389,0.479421677,0.37321995,0.105691057,0.094003241,0.052399248,0.072273074,0.093137812,0.042847405,-1,0,0.002136752,0.0,0.105211082,0.465116279,0.01754386,0.00203666,55.92592593,0.001703094,-1.0,-0.00856531,-0.317679558,-0.394736842,4.442359249,-1.0,0.072273074,0.114795918,-0.000848485,-0.003483387,0.099130435,0.000726744,0.306960441,-0.141304348,0.558823529,-0.125,0.055464391,0.045828437,0.20227577,-56000001.0,0.083333333,0.056439942,0,-1,-1,-1,-1,-0.03374778,0.056254249,0.0,0.004201681,0.002141328,0.039818548,0.165119845,-0.907488987,-1.5,0.048009368,0.098191101,0.230769231,0.111111111,-1.375,-0.03125,2.111111111,-0.01572589,-0.112787927,0.112262156,0.2790809,0.081893004,-1.285714286,-1.42962963,-0.001078749,999999.0,0.0,-2.108527132,0.36744186,-0.048221344,-0.053097345,0.125827815,0.076233184,0.504950495,0.068649886,0.213836478,0.184615385,0.7952,34.304001,34.387501,33.794498,33.794498,33.794498,74992000,-0.11929708928532129
4,1/4/2016,0.081125494,0.35692753,0.561946975,0.147309706,0.413867732,0.438822576,0.131311561,0.435240704,0.433447752,0.131311561,0.435240704,0.433447752,0.131311561,0.435240704,0.433447752,0.105691057,0.094003241,0.052399248,0.072273074,0.093137812,0.042847405,-1,0,0.002136752,0.0,0.105211082,0.465116279,0.01754386,0.00203666,55.92592593,0.001703094,-1.0,-0.00856531,-0.317679558,-0.394736842,4.442359249,-1.0,0.072273074,0.114795918,-0.000848485,-0.003483387,0.099130435,0.000726744,0.306960441,-0.141304348,0.558823529,-0.125,0.055464391,0.045828437,0.20227577,-56000001.0,0.083333333,0.056439942,0,-1,-1,-1,-1,-0.03374778,0.056254249,0.0,0.004201681,0.002141328,0.039818548,0.165119845,-0.907488987,-1.5,0.048009368,0.098191101,0.230769231,0.111111111,-1.375,-0.03125,2.111111111,-0.01572589,-0.112787927,0.112262156,0.2790809,0.081893004,-1.285714286,-1.42962963,-0.001078749,999999.0,0.0,-2.108527132,0.36744186,-0.048221344,-0.053097345,0.125827815,0.076233184,0.504950495,0.068649886,0.213836478,0.184615385,0.7952,32.814499,32.886002,31.3755,31.849501,31.849501,186290000,-0.3735993197959051
5,1/5/2016,0.22494661,0.439198108,0.335855273,0.12397553,0.43184062,0.444183858,0.139453739,0.435584826,0.424961449,0.139453739,0.435584826,0.424961449,0.139453739,0.435584826,0.424961449,0.105691057,0.094003241,0.052399248,0.072273074,0.093137812,0.042847405,-1,0,0.002136752,0.0,0.105211082,0.465116279,0.01754386,0.00203666,55.92592593,0.001703094,-1.0,-0.00856531,-0.317679558,-0.394736842,4.442359249,-1.0,0.072273074,0.114795918,-0.000848485,-0.003483387,0.099130435,0.000726744,0.306960441,-0.141304348,0.558823529,-0.125,0.055464391,0.045828437,0.20227577,-56000001.0,0.083333333,0.056439942,0,-1,-1,-1,-1,-0.03374778,0.056254249,0.0,0.004201681,0.002141328,0.039818548,0.165119845,-0.907488987,-1.5,0.048009368,0.098191101,0.230769231,0.111111111,-1.375,-0.03125,2.111111111,-0.01572589,-0.112787927,0.112262156,0.2790809,0.081893004,-1.285714286,-1.42962963,-0.001078749,999999.0,0.0,-2.108527132,0.36744186,-0.048221344,-0.053097345,0.125827815,0.076233184,0.504950495,0.068649886,0.213836478,0.184615385,0.7952,32.342999,32.345501,31.3825,31.689501,31.689501,116452000,-0.030888324811702245
6,1/6/2016,0.003323195,0.083954725,0.91272205,0.13331802,0.405396383,0.461285609,0.136566565,0.428345637,0.435087812,0.136566565,0.428345637,0.435087812,0.136566565,0.428345637,0.435087812,0.105691057,0.094003241,0.052399248,0.072273074,0.093137812,0.042847405,-1,0,0.002136752,0.0,0.105211082,0.465116279,0.01754386,0.00203666,55.92592593,0.001703094,-1.0,-0.00856531,-0.317679558,-0.394736842,4.442359249,-1.0,0.072273074,0.114795918,-0.000848485,-0.003483387,0.099130435,0.000726744,0.306960441,-0.141304348,0.558823529,-0.125,0.055464391,0.045828437,0.20227577,-56000001.0,0.083333333,0.056439942,0,-1,-1,-1,-1,-0.03374778,0.056254249,0.0,0.004201681,0.002141328,0.039818548,0.165119845,-0.907488987,-1.5,0.048009368,0.098191101,0.230769231,0.111111111,-1.375,-0.03125,2.111111111,-0.01572589,-0.112787927,0.112262156,0.2790809,0.081893004,-1.285714286,-1.42962963,-0.001078749,999999.0,0.0,-2.108527132,0.36744186,-0.048221344,-0.053097345,0.125827815,0.076233184,0.504950495,0.068649886,0.213836478,0.184615385,0.7952,31.1,31.9895,31.015499,31.6325,31.6325,106584000,-0.011023987994171165
7,1/7/2016,0.002288504,0.053040265,0.9446712,0.13667122,0.367828011,0.495500777,0.133738521,0.41964547,0.446616022,0.133738521,0.41964547,0.446616022,0.133738521,0.41964547,0.446616022,0.105691057,0.094003241,0.052399248,0.072273074,0.093137812,0.042847405,-1,0,0.002136752,0.0,0.105211082,0.465116279,0.01754386,0.00203666,55.92592593,0.001703094,-1.0,-0.00856531,-0.317679558,-0.394736842,4.442359249,-1.0,0.072273074,0.114795918,-0.000848485,-0.003483387,0.099130435,0.000726744,0.306960441,-0.141304348,0.558823529,-0.125,0.055464391,0.045828437,0.20227577,-56000001.0,0.083333333,0.056439942,0,-1,-1,-1,-1,-0.03374778,0.056254249,0.0,0.004201681,0.002141328,0.039818548,0.165119845,-0.907488987,-1.5,0.048009368,0.098191101,0.230769231,0.111111111,-1.375,-0.03125,2.111111111,-0.01572589,-0.112787927,0.112262156,0.2790809,0.081893004,-1.285714286,-1.42962963,-0.001078749,999999.0,0.0,-2.108527132,0.36744186,-0.048221344,-0.053097345,0.125827815,0.076233184,0.504950495,0.068649886,0.213836478,0.184615385,0.7952,31.09,31.5,30.2605,30.396999,30.396999,141498000,-0.24865784502411425
8,1/8/2016,0.027108813,0.77410513,0.19878606,0.095521477,0.456214543,0.448263974,0.125536235,0.446911597,0.427552179,0.125536235,0.446911597,0.427552179,0.125536235,0.446911597,0.427552179,0.105691057,0.094003241,0.052399248,0.072273074,0.093137812,0.042847405,-1,0,0.002136752,0.0,0.105211082,0.465116279,0.01754386,0.00203666,55.92592593,0.001703094,-1.0,-0.00856531,-0.317679558,-0.394736842,4.442359249,-1.0,0.072273074,0.114795918,-0.000848485,-0.003483387,0.099130435,0.000726744,0.306960441,-0.141304348,0.558823529,-0.125,0.055464391,0.045828437,0.20227577,-56000001.0,0.083333333,0.056439942,0,-1,-1,-1,-1,-0.03374778,0.056254249,0.0,0.004201681,0.002141328,0.039818548,0.165119845,-0.907488987,-1.5,0.048009368,0.098191101,0.230769231,0.111111111,-1.375,-0.03125,2.111111111,-0.01572589,-0.112787927,0.112262156,0.2790809,0.081893004,-1.285714286,-1.42962963,-0.001078749,999999.0,0.0,-2.108527132,0.36744186,-0.048221344,-0.053097345,0.125827815,0.076233184,0.504950495,0.068649886,0.213836478,0.184615385,0.7952,30.983,31.207001,30.299999,30.352501,30.352501,110258000,-0.008968829811007727
9,1/11/2016,0.064177054,0.464068434,0.4717545,0.074509746,0.510455093,0.415035153,0.10811082,0.465962075,0.425927113,0.10811082,0.465962075,0.425927113,0.10811082,0.465962075,0.425927113,0.105691057,0.094003241,0.052399248,0.072273074,0.093137812,0.042847405,-1,0,0.002136752,0.0,0.105211082,0.465116279,0.01754386,0.00203666,55.92592593,0.001703094,-1.0,-0.00856531,-0.317679558,-0.394736842,4.442359249,-1.0,0.072273074,0.114795918,-0.000848485,-0.003483387,0.099130435,0.000726744,0.306960441,-0.141304348,0.558823529,-0.125,0.055464391,0.045828437,0.20227577,-56000001.0,0.083333333,0.056439942,0,-1,-1,-1,-1,-0.03374778,0.056254249,0.0,0.004201681,0.002141328,0.039818548,0.165119845,-0.907488987,-1.5,0.048009368,0.098191101,0.230769231,0.111111111,-1.375,-0.03125,2.111111111,-0.01572589,-0.112787927,0.112262156,0.2790809,0.081893004,-1.285714286,-1.42962963,-0.001078749,999999.0,0.0,-2.108527132,0.36744186,-0.048221344,-0.053097345,0.125827815,0.076233184,0.504950495,0.068649886,0.213836478,0.184615385,0.7952,30.624001,30.9925,29.928499,30.886999,30.886999,97832000,0.10586688725681206
